vid_id,index,frame,vidTime,timelineRatio,session_duration,vid_count,session_count,session_mean,vid_mean,count_ratio,framediff,framestd,framestdmean
ID_01P6WV49HQ,16500.0,3159.0352,105.3,0.3523,150.88235294117646,34000.0,2117.6470588235293,33323.53,33323.53,1.01,3.377,19.47,19.47
ID_01WO6XNKKX,46000.0,18218.78,607.5,0.3877,189.68,25000.0,1160.0,28946.666,28946.666,1.13,28.0,161.4,161.4
ID_02KSBXQB31,100500.0,617.0151,20.56,0.447,56.095238095238095,84000.0,1047.6190476190477,84000.0,84000.0,1.0,1.198,2.115,2.115
ID_02ZDEV5FIQ,152500.0,300.01797,10.0,0.3572,25.15,20000.0,1100.0,20000.0,20000.0,1.0,0.6396,2.074,2.074
ID_04LEBFUVED,166500.0,3895.577,129.9,0.3936,253.25,8000.0,1500.0,8000.0,8000.0,1.0,6.15,8.016,8.016
ID_05HBF3XX29,173500.0,23888.848,796.5,0.4465,128.0,6000.0,1333.3333333333333,6000.0,6000.0,1.0,28.67,164.1,164.1
ID_05T3ONYB6J,187000.0,4177.4614,139.2,0.455,106.14285714285714,21000.0,1857.142857142857,19380.953,19380.953,1.025,3.676,23.36,23.36
ID_06FYHQRJAE,207000.0,4484.0137,149.5,0.4436,268.2105263157895,19000.0,2263.157894736842,27282.457,27282.457,1.164,4.96,13.28,13.28
ID_07NWERGXN6,219000.0,16931.453,564.5,0.311,140.4,5000.0,1000.0,5000.0,5000.0,1.0,25.98,157.0,157.0
ID_08ADKL1VJL,230500.0,2686.927,89.56,0.3716,107.0,18000.0,3222.222222222222,18000.0,18000.0,1.0,2.713,13.01,13.01
ID_09G0PLA577,247000.0,4627.0967,154.2,0.5356,229.86666666666667,15000.0,1933.3333333333333,14911.111,14911.111,1.0,4.406,22.2,22.2
ID_0A1M1W639T,255000.0,540.0,18.0,0.5,36.0,1000.0,1000.0,1000.0,1000.0,1.0,1.081,2.44e-05,2.44e-05
ID_0A28JIKX1L,275000.0,3835.5068,127.9,0.3674,100.7948717948718,39000.0,1769.2307692307693,39000.0,39000.0,1.0,4.605,32.34,32.34
ID_0C1G4TYPYT,297000.0,20135.887,671.0,0.3455,250.4,5000.0,2200.0,5000.0,5000.0,1.0,22.8,50.62,50.6
ID_0C3UX7AF2X,303000.0,2426.404,80.9,0.337,79.85714285714286,7000.0,1857.142857142857,7000.0,7000.0,1.0,2.941,18.2,18.2
