vid_id,index,frame,vidTime,timelineRatio,session_duration,vid_count,session_count,session_mean,vid_mean,count_ratio,framediff,framestd,framestdmean
ID_00C9KJGOK1,2000.0,20117.691,670.5,0.4446,191.6,5000.0,1000.0,5000.0,5000.0,1.0,30.111738,181.8,181.8
ID_018T3EWMHA,44500.0,4039.8748,134.6,0.4827,291.325,80000.0,1700.0,79652.5,79652.5,1.016,4.898266,15.06,15.06
ID_01DQALV0ZG,87500.0,13393.408,446.5,0.2883,161.83333333333334,6000.0,1000.0,6000.0,6000.0,1.0,21.65052,140.6,140.5
ID_01U6EDCUOM,93000.0,20733.133,691.0,0.3767,139.8,5000.0,1000.0,5000.0,5000.0,1.0,42.28093,244.8,244.8
ID_02353NEYPV,101000.0,1019.515,33.97,0.1674,35.09090909090909,11000.0,1909.090909090909,11000.0,11000.0,1.0,1.2060874,26.89,26.89
ID_026WBV4LN9,114500.0,2729.6948,91.0,0.2773,151.0,16000.0,2500.0,15625.0,15625.0,1.005,2.2648113,31.52,31.52
ID_027F9YN12D,126000.0,20899.543,696.5,0.3381,220.42857142857142,7000.0,1000.0,7000.0,7000.0,1.0,40.04093,278.8,278.8
ID_0292AG4ITC,132000.0,24574.953,819.0,0.513,33.6,5000.0,2200.0,5500.0,5500.0,1.026,25.61763,366.2,366.2
ID_02FJED50ZB,142000.0,3152.0752,105.06,0.349,171.86666666666667,15000.0,1800.0,15600.0,15600.0,1.016,4.098068,12.516,12.516
ID_02Q7F5T7TM,156000.0,2214.889,73.8,0.408,85.15384615384616,13000.0,1923.076923076923,31666.666,31666.666,2.098,2.2146788,11.81,11.81
ID_02RBSW5N8G,171500.0,17559.797,585.5,0.328,286.6666666666667,18000.0,1111.111111111111,18000.0,18000.0,1.0,26.255386,207.4,207.4
ID_02VPY5HSR3,189500.0,16740.803,558.0,0.2969,197.66666666666666,18000.0,1000.0,17722.223,17722.223,1.006,32.666553,274.2,274.5
ID_03H2VXNWBI,205500.0,16134.597,538.0,0.3472,100.28571428571429,14000.0,1571.4285714285713,13821.429,13821.429,1.003,28.507336,205.2,205.1
ID_03IRODZF9O,218500.0,24416.402,814.0,0.5176,281.5,12000.0,1166.6666666666667,12000.0,12000.0,1.0,29.786274,318.0,318.0
ID_03JBSE7X3C,234500.0,2514.2874,83.8,0.3235,31.35,20000.0,2700.0,20000.0,20000.0,1.0,2.0513935,17.98,17.98
ID_03RBR2R796,248500.0,7672.234,255.8,0.1624,220.125,8000.0,1000.0,8000.0,8000.0,1.0,20.599749,108.1,108.1
ID_042GPZA3W3,253500.0,672.8495,22.42,0.4314,31.5,2000.0,1000.0,2000.0,2000.0,1.0,1.5164413,6.387,6.387
ID_04SAQL7R6N,261000.0,3836.637,127.9,0.4263,139.3846153846154,13000.0,1923.076923076923,13000.0,13000.0,1.0,3.400755,19.92,19.92
ID_051EWOPVXY,279500.0,2906.9146,96.9,0.3728,61.041666666666664,24000.0,2250.0,25166.666,25166.666,1.017,2.9595497,41.3,41.3
ID_058ZHYQX6G,295500.0,15165.881,505.5,0.3103,51.375,8000.0,1250.0,37531.25,37531.25,3.588,20.10834,212.5,212.5
