vid_id,index,frame,vidTime,timelineRatio,session_duration,vid_count,session_count,session_mean,vid_mean,count_ratio,framediff,framestd,framestdmean
ID_00W17KW3SB,43500.0,17100.822,570.0,0.2747,325.67045454545456,88000.0,1204.5454545454545,87310.61,87310.61,1.008,31.823782,203.6,203.6
ID_017OO0Q1W4,93000.0,1783.2207,59.44,0.2927,50.0,11000.0,1909.090909090909,10727.272,10727.272,1.009,1.994282,15.67,15.67
ID_01VIRE6XSU,102500.0,9304.091,310.2,0.2063,345.125,8000.0,1000.0,8000.0,8000.0,1.0,18.265276,131.4,131.4
ID_03KW1B84V6,109000.0,214.91998,7.164,0.2756,40.4,5000.0,1000.0,5000.0,5000.0,1.0,0.47416183,0.2443,0.2443
ID_046QP6U1AF,159500.0,15285.463,509.5,0.3125,291.59375,96000.0,1145.8333333333333,91562.5,91562.5,1.023,26.553396,178.8,178.8
ID_052H2LEQ1V,217000.0,19272.559,642.5,0.3694,170.52631578947367,19000.0,1105.2631578947369,23833.334,23833.334,1.158,32.717636,204.9,204.9
ID_099HIAUAG9,230500.0,1886.7435,62.9,0.2048,30.875,8000.0,1500.0,8000.0,8000.0,1.0,2.7173345,35.78,35.78
ID_0A90K3DZCF,239500.0,2454.0933,81.8,0.322,50.6,10000.0,2800.0,10000.0,10000.0,1.0,2.1852753,24.5,24.5
ID_0BRZ2GCONL,247500.0,23589.186,786.5,0.405,176.83333333333334,6000.0,1000.0,6000.0,6000.0,1.0,33.0954,276.8,276.8
ID_0C6Q7MGE5D,253500.0,22105.6,737.0,0.4702,312.5,6000.0,1000.0,6000.0,6000.0,1.0,38.718147,294.0,294.0
ID_0CKRWAKBCV,261000.0,3857.2957,128.6,0.3572,163.44444444444446,9000.0,2777.777777777778,9444.444,9444.444,1.003,3.351346,22.39,22.39
ID_0D56E7Y0ZN,273000.0,12959.696,432.0,0.2415,86.53333333333333,15000.0,1133.3333333333333,15000.0,15000.0,1.0,24.583654,175.2,175.2
ID_0DUE7CB6TY,291500.0,2690.063,89.7,0.2893,115.81818181818181,22000.0,2000.0,32681.818,32681.818,1.137,2.6059215,16.19,16.19
ID_0DZFR93LG1,306500.0,6823.603,227.5,0.4375,372.375,8000.0,1000.0,7875.0,7875.0,1.002,12.297966,38.4,38.4
ID_0EOQKBQA1C,321000.0,3328.5981,110.94,0.365,110.66666666666667,21000.0,1857.142857142857,20333.334,20333.334,1.01,3.3553073,31.5,31.5
ID_0FAHRHVRX5,334000.0,21184.68,706.0,0.3997,182.4,5000.0,1000.0,5000.0,5000.0,1.0,33.360027,426.0,426.2
ID_0FVBUF32FU,343500.0,14586.452,486.2,0.2341,170.78571428571428,14000.0,1714.2857142857142,13226.19,13226.19,1.007,21.486874,147.1,147.2
ID_0H3BIV4OH8,353000.0,26562.717,885.5,0.4592,65.4,5000.0,1000.0,5233.3335,5233.3335,1.003,34.101254,213.8,213.8
ID_0HHSQJK6F3,386500.0,3790.6965,126.4,0.4023,175.75806451612902,62000.0,1870.967741935484,61169.355,61169.355,1.01,4.4095306,23.03,23.03
ID_0HO36ZA17Y,421500.0,3096.1458,103.2,0.4546,103.625,8000.0,1750.0,8000.0,8000.0,1.0,3.3127122,17.06,17.05
ID_0JJ188VXBP,428000.0,19154.514,638.5,0.344,1203.2,5000.0,1000.0,9100.0,9100.0,1.527,42.115307,358.2,358.2
ID_0JMDT7LJWA,434000.0,61241.902,2041.0,0.547,995.7142857142857,7000.0,1000.0,7000.0,7000.0,1.0,110.23838,774.0,773.5
ID_0K3WG8B2UX,440500.0,11274.875,375.8,0.4587,2372.3333333333335,6000.0,1000.0,6000.0,6000.0,1.0,23.019506,98.3,98.3
ID_0KAJQ8VACT,447000.0,23517.822,784.0,0.4714,366.2857142857143,7000.0,1000.0,7000.0,7000.0,1.0,35.45553,363.2,363.2
ID_0KK6SPJKFB,455000.0,6038.6045,201.2,0.559,240.44444444444446,9000.0,1666.6666666666667,9000.0,9000.0,1.0,6.867491,26.97,26.97
ID_0KXEW9ZECG,470500.0,3356.326,111.9,0.3755,203.5,22000.0,1818.1818181818182,21931.818,21931.818,1.0,4.1093354,14.91,14.91
ID_0L2VQWQP54,490500.0,915.5018,30.52,0.5005,133.61111111111111,18000.0,1000.0,16833.334,16833.334,1.035,1.7124081,0.932,0.9316
ID_0MTEQPY6Y5,504000.0,2940.282,98.0,0.3267,109.33333333333333,9000.0,1888.888888888889,9000.0,9000.0,1.0,3.4980812,14.44,14.44
ID_0N916RL7V5,511000.0,29128.336,971.0,0.542,68.8,5000.0,1400.0,5000.0,5000.0,1.0,31.475185,221.4,221.4
ID_0NJFHBY2RQ,518500.0,19019.492,634.0,0.33,751.6,10000.0,1000.0,10000.0,10000.0,1.0,31.118353,292.2,292.2
ID_0SA979QVWO,527000.0,5566.881,185.6,0.4758,364.0,7000.0,1000.0,7000.0,7000.0,1.0,10.366286,19.47,19.47
ID_0TQQO6MVM9,537500.0,23849.883,795.0,0.4304,169.92857142857142,14000.0,1000.0,15428.571,15428.571,1.038,36.65704,244.0,244.0
ID_0U0292O3KS,568000.0,2058.562,68.6,0.2756,75.53191489361703,47000.0,1851.063829787234,47000.0,47000.0,1.0,2.6258373,16.28,16.28
ID_0U3G0XJCK7,599000.0,27270.547,909.0,0.4421,229.86666666666667,15000.0,1000.0,15000.0,15000.0,1.0,42.369247,393.2,393.2
ID_0VDQPBN204,609000.0,18470.021,615.5,0.5015,794.8,5000.0,1000.0,5000.0,5000.0,1.0,35.36634,141.8,141.8
ID_0W61FYWQT4,618500.0,14085.423,469.5,0.2485,42.785714285714285,14000.0,1428.5714285714287,14000.0,14000.0,1.0,20.866974,156.5,156.5
ID_0XBYVU4400,633500.0,3051.8901,101.75,0.2993,200.1875,16000.0,1750.0,16000.0,16000.0,1.0,4.3422537,20.11,20.11
ID_0Y6PXRUUYF,644000.0,12182.832,406.0,0.2568,173.0,5000.0,1000.0,5000.0,5000.0,1.0,24.930082,169.8,169.8
ID_0Z1KMEQ4IU,651500.0,2290.345,76.4,0.3455,86.7,10000.0,1800.0,10000.0,10000.0,1.0,3.238203,31.97,31.95
ID_12W1EIVWWZ,660000.0,19233.76,641.0,0.3086,146.0,7000.0,1000.0,7190.476,7190.476,1.004,41.648144,416.0,416.0
ID_13IDRRYXX2,672000.0,2364.4368,78.8,0.292,69.76470588235294,17000.0,1941.1764705882354,17000.0,17000.0,1.0,2.9748387,18.23,18.23
ID_13YE347BQH,685500.0,13281.221,442.8,0.2761,89.6,10000.0,1600.0,10000.0,10000.0,1.0,26.884663,214.9,214.9
ID_146OD8M7CN,693500.0,11777.527,392.5,0.3042,774.0,6000.0,1000.0,6000.0,6000.0,1.0,37.17021,272.2,272.2
ID_147O1COEIT,702500.0,2604.4377,86.8,0.432,185.83333333333334,12000.0,2000.0,12000.0,12000.0,1.0,2.3455923,10.11,10.11
ID_14DNU2W65F,714500.0,21079.125,702.5,0.39,102.75,12000.0,1166.6666666666667,12166.667,12166.667,1.002,26.523752,240.6,240.5
ID_14N4Q2HAA0,722000.0,564.1726,18.81,0.3762,28.666666666666668,3000.0,1000.0,3000.0,3000.0,1.0,1.1911912,4.426,4.426
ID_17S14KUXP4,732500.0,5506.668,183.5,0.51,203.94444444444446,18000.0,1888.888888888889,18000.0,18000.0,1.0,5.05336,29.5,29.52
