vid_id,index,frame,vidTime,timelineRatio,session_duration,vid_count,session_count,session_mean,vid_mean,count_ratio,framediff,framestd,framestdmean
ID_000FWIZDYH,7000.0,3722.3828,124.06,0.437,1156.0,15000.0,1800.0,15000.0,15000.0,1.0,3.807837,30.47,30.47
ID_00FMRXW972,23000.0,3235.0554,107.8,0.3838,186.0,17000.0,1823.5294117647059,16588.234,16588.234,1.005,4.0265164,9.76,9.76
ID_00JLJGB89W,36500.0,6668.1206,222.2,0.4307,436.1,10000.0,1000.0,9700.0,9700.0,1.005,13.902407,41.9,41.9
ID_00UWLRIUIB,44000.0,23613.244,787.0,0.4277,27.8,5000.0,1000.0,5000.0,5000.0,1.0,34.07788,479.2,479.2
ID_016DN30J91,50500.0,14734.844,491.2,0.3018,167.25,8000.0,1500.0,8000.0,8000.0,1.0,30.122234,138.1,138.1
ID_01KWDQPYWT,59000.0,17956.086,598.5,0.3674,261.22222222222223,9000.0,1000.0,10361.111,10361.111,1.072,30.465136,275.2,275.2
ID_01NUFAAK6N,66000.0,16358.76,545.5,0.31,171.8,5000.0,1000.0,5000.0,5000.0,1.0,34.69625,307.0,307.0
ID_01NW7DI6JF,74500.0,23874.607,796.0,0.4734,189.16666666666666,12000.0,1000.0,12000.0,12000.0,1.0,37.329895,198.8,198.6
ID_01Z2OUXK0T,88000.0,4739.739,158.0,0.525,207.13333333333333,15000.0,2333.3333333333335,22657.143,22657.143,1.246,4.1837516,23.2,23.2
ID_02F1SPBBML,98500.0,14580.222,486.0,0.2688,490.0,6000.0,1333.3333333333333,6000.0,6000.0,1.0,28.311176,259.5,259.5
ID_02GB1SC8TB,105500.0,5388.5254,179.6,0.4595,377.25,8000.0,1250.0,8000.0,8000.0,1.0,9.65869,13.98,13.98
ID_032HUR70DV,114500.0,1479.604,49.3,0.18,73.0,10000.0,2000.0,10000.0,10000.0,1.0,1.4613208,21.44,21.44
ID_037FZNKIV2,122000.0,5677.7285,189.2,0.1088,26.4,5000.0,1400.0,5000.0,5000.0,1.0,12.510175,53.97,53.97
ID_03909037D1,139000.0,3157.0557,105.25,0.4175,110.6896551724138,29000.0,1965.5172413793102,29000.0,29000.0,1.0,3.0559874,21.0,21.0
ID_039BF18IC7,156000.0,13387.352,446.2,0.5444,550.6,5000.0,3400.0,11400.0,11400.0,1.157,9.114207,43.56,43.56
ID_03DNLPT8WC,165000.0,3674.1125,122.5,0.34,132.6153846153846,13000.0,1769.2307692307693,14910.256,14910.257,1.107,4.606193,25.67,25.67
ID_03EK7EKSOF,175000.0,2247.3416,74.94,0.4568,151.42857142857142,7000.0,1000.0,7000.0,7000.0,1.0,4.7908397,7.863,7.867
ID_03MQ41YPFE,181500.0,12450.371,415.0,0.4146,1548.8333333333333,6000.0,1000.0,15083.333,15083.333,2.137,28.079224,68.4,68.4
ID_03WO6S63F9,192000.0,2529.6084,84.3,0.4016,120.13333333333334,15000.0,2466.6666666666665,15000.0,15000.0,1.0,2.2443426,15.57,15.57
ID_03XRB0MGE5,205500.0,21348.938,711.5,0.3967,48.25,12000.0,1166.6666666666667,14389.646,14389.646,1.152,25.452126,316.5,316.8
ID_045MP813IU,279500.0,17694.99,590.0,0.3025,254.48529411764707,136000.0,1117.6470588235295,127044.484,127044.484,1.043,31.457005,231.0,231.0
ID_04A0YO7TIM,352000.0,10731.24,357.8,0.2305,83.22222222222223,9000.0,1444.4444444444443,9000.0,9000.0,1.0,12.197478,49.16,49.16
ID_04C57FMBRZ,361000.0,729.75214,24.33,0.4424,72.11111111111111,9000.0,1000.0,9000.0,9000.0,1.0,1.4903158,2.535,2.535
ID_050IJE4LZR,368000.0,10955.311,365.2,0.1929,251.2,5000.0,1000.0,5000.0,5000.0,1.0,30.582024,228.8,228.8
ID_066V3GI6V9,374000.0,14967.956,499.0,0.281,305.57142857142856,7000.0,2714.285714285714,9642.857,9642.857,1.235,21.593525,155.5,155.5
