vid_id,index,frame,vidTime,timelineRatio,session_duration,vid_count,session_count,session_mean,vid_mean,count_ratio,vsi_max,duration_frac,max_vsi,v_frac,v_vol
ID_002VVGIJMP,63500.0,17010.404,567.0,0.31,449.5625,128000.0,1140.625,124140.83,124140.83,1.024,1073.0,10.199180919640591,0.0907734375,0.862,110305.555
ID_0107OKEJ8X,137500.0,22355.014,745.0,0.3877,145.35,20000.0,1000.0,20816.666,20816.666,1.028,1101.0,16.527254336499123,0.3,0.91,18200.0
ID_013F0X2Z2N,154500.0,16405.805,547.0,0.3398,102.92857142857143,14000.0,1142.857142857143,15916.667,15916.667,1.059,878.5,14.441280911875628,0.14285714285714285,0.893,12500.0
ID_019MKMCDJR,166000.0,1088.4438,36.28,0.1344,17.555555555555557,9000.0,1888.888888888889,10037.037,10037.037,1.03,62.5,5.369437125457511,0.2222222222222222,0.852,7666.6665
ID_01S8FOBJWF,176000.0,24984.65,833.0,0.4067,60.72727272727273,11000.0,1181.8181818181818,10700.0,10700.0,1.0205,1235.0,61.63984263369779,0.09090909090909091,0.765,8416.667
ID_02RBZ184M5,186500.0,3424.8572,114.2,0.3743,135.4,10000.0,2000.0,10000.0,10000.0,1.0,169.0,1.2018417953298781,0.0,1.0,10000.0
ID_02UUZWCLTP,193500.0,32549.36,1085.0,0.6084,209.25,4000.0,1500.0,4833.333,4833.3335,1.03,1522.0,15.674563545691381,0.0,0.75,3000.0
ID_03JM58MVJB,200000.0,4727.9233,157.6,0.4377,110.0,9000.0,2777.777777777778,10222.223,10222.223,1.018,218.6,5.675982740566495,0.1111111111111111,0.778,7000.0
ID_03KK33610D,216000.0,2146.549,71.56,0.2969,177.1304347826087,23000.0,1782.608695652174,23000.0,23000.0,1.0,119.8,1.1458459144724331,0.2608695652173913,1.0,23000.0
ID_03PLMBNXGK,230000.0,15968.018,532.5,0.313,168.2,5000.0,1000.0,5300.0,5300.0,1.011,937.5,17.66114460082202,0.2,0.9,4500.0
ID_03TPPRXHIM,243500.0,1700.3729,56.7,0.2017,49.81818181818182,22000.0,1909.090909090909,22000.0,22000.0,1.0,86.25,2.4565458353256897,0.18181818181818182,1.0,22000.0
ID_03XW3Q9RII,259500.0,12758.686,425.2,0.251,343.1,10000.0,3200.0,10000.0,10000.0,1.0,739.0,3.5819630037726724,0.0,1.0,10000.0
ID_049WLYG0FI,271000.0,6600.4995,220.0,0.4583,322.15384615384613,13000.0,1000.0,13000.0,13000.0,1.0,450.8,1.6225533352209904,0.0,1.0,13000.0
ID_04JG0JWFR5,282000.0,755.97644,25.2,0.1091,37.77777777777778,9000.0,1888.888888888889,9111.111,9111.111,1.001,44.75,0.9556351239049444,0.2222222222222222,0.8887,8000.0
ID_04MSB06NBN,290000.0,13838.889,461.2,0.458,677.7142857142857,7000.0,1000.0,7000.0,7000.0,1.0,897.5,1.428629791917815,0.14285714285714285,1.0,7000.0
ID_04O40RQOQI,296500.0,13396.88,446.5,0.2157,58.333333333333336,6000.0,1333.3333333333333,6000.0,6000.0,1.0,751.5,17.30905874077749,0.16666666666666666,1.0,6000.0
ID_051Y9VBFUC,303000.0,4866.98,162.2,0.4507,69.71428571428571,7000.0,1857.142857142857,14353.522,14353.522,1.208,249.5,7.627086951659344,0.0,0.3533,2472.8572
