vid_id,index,frame,vidTime,timelineRatio,session_duration,vid_count,session_count,session_mean,vid_mean,count_ratio,vsi_max,duration_frac,max_vsi,v_frac,v_vol
ID_003YWE7AI1,6000.0,5530.437,184.4,0.5654,134.53846153846155,13000.0,1769.2307692307693,13000.0,13000.0,1.0,261.5,4.414556220394405,0.0,1.0,13000.0
ID_00WS8U3B49,19500.0,2967.9958,98.94,0.3584,102.0,14000.0,2000.0,21023.809,21023.809,1.156,150.2,2.5197041472610566,0.0,0.7617,10666.667
ID_00YXKTG9E9,63500.0,2382.6802,79.44,0.3513,69.71621621621621,74000.0,2243.2432432432433,74539.98,74539.98,1.026,116.2,2.728704525520669,0.13513513513513514,0.9424,69738.09
ID_020845IRK3,103000.0,13972.674,465.8,0.2286,207.4,5000.0,1000.0,5400.0,5400.0,1.019,1028.0,29.785631152365863,0.4,0.9,4500.0
ID_05JFVXZTAJ,112500.0,842.9164,28.1,0.1478,51.57142857142857,14000.0,2571.4285714285716,14285.714,14285.714,1.002,45.62,0.816323870034621,0.21428571428571427,0.9287,13000.0
ID_05O8D72W76,124000.0,18240.273,608.0,0.3665,276.3333333333333,9000.0,1000.0,9000.0,9000.0,1.0,1120.0,13.280695115702875,0.0,1.0,9000.0
ID_05OEMR39H7,131000.0,28903.969,963.5,0.5107,64.0,5000.0,2600.0,5000.0,5000.0,1.0,1141.0,57.72143592533537,0.0,1.0,5000.0
ID_08OPX40GJ6,138500.0,2283.4824,76.1,0.308,76.0,10000.0,2600.0,10000.0,10000.0,1.0,124.56,2.0946973011828907,0.0,1.0,10000.0
ID_08XE2CUA5I,145500.0,727.7822,24.27,0.4182,50.5,4000.0,1000.0,16000.0,16000.0,3.076,55.5,1.112922138836773,0.5,0.875,3500.0
ID_08ZQOXL0PU,152500.0,15784.051,526.0,0.264,268.9,10000.0,1200.0,10000.0,10000.0,1.0,1005.0,6.755195531781802,0.1,1.0,10000.0
ID_09773PLVJ4,160500.0,8193.34,273.0,0.4377,371.1666666666667,6000.0,1000.0,6000.0,6000.0,1.0,542.5,1.594476533301057,0.0,1.0,6000.0
ID_09OD3E1MBS,168500.0,4416.8784,147.2,0.4316,115.1,10000.0,1800.0,10900.0,10900.0,1.022,217.0,4.157859175122858,0.2,0.9,9000.0
ID_0A8CHISPM9,178500.0,22558.617,752.0,0.429,385.9,10000.0,1000.0,10000.0,10000.0,1.0,1543.0,22.20322148674781,0.0,1.0,10000.0
ID_0AED3QXUP6,190500.0,1838.1498,61.28,0.3003,63.714285714285715,14000.0,2000.0,14000.0,14000.0,1.0,92.8,2.9194522808203476,0.07142857142857142,1.0,14000.0
ID_0AG2U4T0MD,202000.0,4496.3105,149.9,0.4668,73.11111111111111,9000.0,2777.777777777778,9000.0,9000.0,1.0,205.6,4.1111619102796,0.0,1.0,9000.0
ID_0AIZRL0NQF,214000.0,3537.1162,117.9,0.4368,77.13333333333334,15000.0,1800.0,15000.0,15000.0,1.0,178.4,2.721334702013162,0.13333333333333333,1.0,15000.0
ID_0AN5FJR4LR,226500.0,16853.826,562.0,0.3137,134.4,10000.0,1200.0,10000.0,10000.0,1.0,841.0,20.971507446597762,0.2,1.0,10000.0
ID_0BK632UXT6,232000.0,840.0,28.0,0.5,56.0,1000.0,1000.0,1000.0,1000.0,1.0,56.0,1.0,1.0,1.0,1000.0
ID_0CO885QO6A,235000.0,12717.178,424.0,0.634,2940.0,5000.0,1000.0,5000.0,5000.0,1.0,641.5,1.9582056127098006,0.0,1.0,5000.0
ID_0CTEARA0NG,240000.0,894.6833,29.83,0.3823,57.2,5000.0,1000.0,5000.0,5000.0,1.0,60.97,1.1285514058265582,0.4,1.0,5000.0
ID_0DSE6NVZ29,256500.0,21835.975,728.0,0.4111,348.32142857142856,28000.0,1214.2857142857142,36738.094,36738.094,1.184,1154.0,21.860743670985286,0.0,0.8315,23283.334
ID_0E2NJSBJR1,275500.0,5139.9395,171.4,0.5713,2895.3,10000.0,1800.0,10000.0,10000.0,1.0,228.6,1.5105040286168552,0.1,1.0,10000.0
ID_0E6LO7INK6,298500.0,3503.3494,116.75,0.3245,85.05555555555556,36000.0,1888.888888888889,35388.89,35388.89,1.007,167.8,2.2386695668255,0.1388888888888889,0.972,35000.0
ID_0EKXSW7AA3,366000.0,2893.5386,96.44,0.3237,119.1010101010101,99000.0,1161.6161616161617,98898.99,98898.99,1.01,172.8,3.6900732781717283,0.2222222222222222,0.98,97000.0
ID_0F11A1QRDM,422500.0,4254.9067,141.9,0.4604,195.28571428571428,14000.0,1857.142857142857,14000.0,14000.0,1.0,237.2,1.7071296554157853,0.07142857142857142,1.0,14000.0
ID_0FVB62NRHC,432000.0,17967.281,599.0,0.3027,35.0,5000.0,1000.0,5000.0,5000.0,1.0,1011.5,58.62316770186336,0.2,1.0,5000.0
ID_0GRKZ7SJ5J,441500.0,955.69354,31.86,0.1584,44.285714285714285,14000.0,2000.0,14000.0,14000.0,1.0,52.0,2.499865645352915,0.21428571428571427,1.0,14000.0
ID_0I83Z9KNFG,453000.0,6916.612,230.5,0.59,385.1111111111111,9000.0,1000.0,9000.0,9000.0,1.0,387.5,1.0996588315941727,0.0,1.0,9000.0
