vid_id,target
ID_XOSNMS1ZMQ,0.0021621762
ID_YRXR4XN6G3,0.002778089
ID_GVRGM8REV5,0.0017102663
ID_QULJLKXTJ2,0.0016806213
ID_FF8S81W6P0,0.0015546957
ID_D8BOKHHEXY,0.0063415067
ID_NQ5697LE3P,0.002503328
ID_1EUC5YKL73,0.0020829032
ID_GHV43R5QOV,0.0012015997
ID_PBS3CWJMF1,0.0015056481
ID_YVPXQ2BXRG,0.0015442912
ID_U11M8SJXG6,0.0026866754
ID_IN3SMAJUBR,0.0015257349
ID_ZUJILT6JP3,0.00155653
ID_RI4OJ3UWCH,0.0015460174
ID_8X3TFU850R,0.001734008
ID_8UR2AGIBVV,0.00075416855
ID_3CIV4RYFY5,0.0021012465
ID_G4ECKBVKY7,0.0015877802
ID_YIDBGBECJW,0.0017636039
ID_CDFJID0QB9,0.0024989056
ID_9MRIHCRPAW,0.0019270035
ID_SKNXF8KQ0V,0.0015726386
ID_IHNSUYU03R,0.0015835203
ID_S275SCK59B,0.0019614885
ID_I8APMIJ97M,0.0026600142
ID_I6C41LZD46,0.0017145459
ID_QOLCXBEOXX,0.001274854
ID_Y1SKH44BUK,0.0023285556
ID_QWXG5XL0QL,0.0013716818
ID_A2AQPDQV6V,0.0023611963
ID_55SKEK9G2V,0.0015665381
ID_BR9NB5Q4BS,0.0010798094
ID_2RDHRRVAAD,0.0014133044
ID_J1ARF1WE7E,0.0017838762
ID_8X6WDKJJ4E,0.001672109
ID_DHSU3SQSUN,0.0021354458
ID_8XZH8GL6RM,0.0017863362
ID_1EKXDNFURX,0.0018605532
ID_OWYQLQY38Y,0.0013781047
ID_WOPGO0QNV6,0.0017075691
ID_0VONQ3FWGK,0.0010130886
ID_GB3RA0DVFQ,0.0041351286
ID_M0P3NL2GMV,0.002231211
ID_K3BQ2OUPSL,0.0007441875
ID_Y6RAQS0CJU,0.0018567422
ID_KVJSS2VEHA,0.0017703384
ID_2E5CP1U4VV,0.0031469935
ID_0FV5DPQK20,0.0035889943
ID_AF4G31CWAI,0.0016884215
ID_SJ8XMRRP1U,0.0014741133
ID_0G1VQ521YD,0.001481268
ID_ZLC5571SD6,0.0043693157
ID_G1170O6BE8,0.0017094193
ID_1N4EVK20IW,0.0014010968
ID_XLB03PV9M8,0.0017838762
ID_L497D1KECC,0.0032836206
ID_LG36271WKZ,0.0014386636
ID_DU07FH1CHN,0.0015789331
ID_V4X3CM8N5V,0.001844997
ID_V4XHVLBQRB,0.0014825335
ID_YJNHWPEHDL,0.0026549962
ID_9I179T0I66,0.0012332269
ID_AFUI108S9O,0.0019461266
ID_3ZXPQBOCO2,0.0014995136
ID_FSIKK1PM33,0.0016130209
ID_W0DY04ZV5W,0.0016471416
ID_7QXFM2ORO7,0.0025159747
ID_9LMT4VDTQY,0.0012386778
ID_6ZPSDU5B31,0.0022444846
ID_1PEQIAL4MK,0.0014923662
ID_T2376A0LHV,0.0014862021
ID_7LI1NH7ZJM,0.0025158788
ID_IFB7BRCZ41,0.0015199496
ID_I9EP2FJNNF,0.0010302557
ID_PQBP90CXL7,0.0018502956
ID_OPPW1I9Y8E,0.0019282977
ID_6TTEHMT4QA,0.0010745738
ID_IUSG594XIV,0.002431385
ID_M4JSIV2DOM,0.0011239244
ID_DYAMPBS3VV,0.002004055
ID_KZGFLGVB5C,0.0011149477
ID_FFHMDTL4GP,0.0014186722
ID_HDED5HQJ8M,0.0016199272
ID_9QI2BJ9OUZ,0.0026754686
ID_4I8GEB09HI,0.0020742456
ID_68WCSZ9C9I,0.002347734
ID_87XN9X9HS1,0.0013924644
ID_7Z31TWRDCV,0.0011458519
ID_BH01X16LCK,0.0020297999
ID_PZ4IP3HE4V,0.0013463985
ID_57AVQX8EM0,0.0014829012
ID_E73I22V2SV,0.0028529936
ID_6VRRTM0VC1,0.0013819194
ID_KBJEZRXEZ3,0.001377141
ID_YULRJM17MP,0.0037173554
ID_LLXTZMUCVP,0.0018284878
ID_TF34MSS9X1,0.0022451973
ID_99XSVC6QX4,0.0018886238
ID_0CYJWH683A,0.0016188949
ID_JZTORJX045,0.0013980196
ID_UMFJ422BEQ,0.0016164219
ID_CFOVT1A4NY,0.0012617564
ID_COR5NOAQQU,0.0024068886
ID_92UB6DBO2H,0.000978182
ID_K5REP6RBNA,0.001571706
ID_2GTJ7MJGF2,0.0015341428
ID_630CC6TXM1,0.0018592016
ID_1LTEEFSNKE,0.003786136
ID_KUSGZQBNXQ,0.001654168
ID_8QVQ8G3VRC,0.00177959
ID_2TASYJEDLB,0.002040421
ID_1900E3K4BE,0.0036913615
ID_IGP3USIOUE,0.0025780809
ID_WNRL2D38FD,0.0021541298
ID_R4FN9S341B,0.0020516112
ID_KAC76BAL2Z,0.0026123042
ID_3GCSBSFVWT,0.0015856699
ID_9YMHGOG0FE,0.0034097345
ID_MYIPCF0CTH,0.0017808098
ID_AFJ2962NXZ,0.0016456462
ID_TL81J9VV4K,0.0018796378
ID_TMM6HFML8U,0.002302976
ID_AVRY8QF8I5,0.0007932328
ID_KWW8MZMURB,0.0015955307
ID_Z9B3GW9CT3,0.0017753666
ID_PZ8S7KJBSC,0.0014401241
ID_8ZCRGBYWNW,0.0014366988
ID_9ADLZ3P1OJ,0.0022297082
ID_GT2MEUBU06,0.0017810807
ID_V4SKKRLRD6,0.002130118
ID_K37LI7CFWZ,0.0024098882
ID_BBFEST8RLK,0.0020307174
ID_IQS9K6JGTY,0.001428898
ID_FZJZHIPZ6P,0.0022035863
ID_4GI7PMF1CA,0.0017772868
ID_9HNZE9WOYG,0.0015579283
ID_KVPTOJLLN0,0.0015060876
ID_S42FR0VWPH,0.001708215
ID_XOKZDWEJY4,0.0049084793
ID_6ET3M3GEZ4,0.0025781423
