vid_id,session_id
ID_00W17KW3SB,f67ba4e74a7ca5dac3a53450fa0d24939a91d9f2
ID_VT8085XFCS,80783fe667d354c570210817b37e44392112605d
ID_EE6I72H55G,cc2f8d7d595a211ef78066f84a0d2a6c6e537cb9
ID_BL5G6AOHZ5,2286d494f8db4a5dd5a7332fccead1fb8ab82e57
ID_O8LQTOTI8A,de90b1fb1f1933c44e933b05eb2f6a9d17ba81c5
ID_EE6I72H55G,9379b66888bcb7f478d31e279e4c099f6f4eefc9
ID_9I5C2TCBWY,ecdd21b8f9c5bd8d20df851a5b69a8e89aa79b90
ID_6DKTEJ14YW,e6da0eace0aa1629f5241ced583bd31405ad0077
ID_2V4SGT1U9L,02bf2b51b4835e8189979721c124997f066b8f4c
ID_01VIRE6XSU,47f62835db49468a43c0fb5a12f7d1329a098080
ID_9I5C2TCBWY,f8ab0461256824b911b1bf99c65208107d48e089
ID_LAK1ZKTQHF,1397e7e2ae7d1dbc4b5c4c5b2eeece156e7f601e
ID_9I5C2TCBWY,f5b6bbfc267b3a9d73a6cf451c14087fd072fce5
ID_O8LQTOTI8A,9e4206f1f5d4fa59f5c41a08356923755f09f134
ID_WH5YJ76FQP,11bc4fbbf248721c0c6a1d3c545595aa1412257e
ID_NLCT7ZKSY8,97a31959cf1285cf9ce27ea9201d5a1bdf29c6e6
ID_O8LQTOTI8A,c6d45f72753f2eb11ec302068e03575a64a04d4d
ID_PW3NHO6QHP,8b5749705f2ae25faff00d36ca7d7813234f9153
ID_PGR5MMGKWY,b0d48086a0b6efa89d23e99342711adf9229a61a
ID_KCVYJ5F3GU,1a30fcf5b43eaaccc662c62544f33312083c3875
ID_Q50K5MFEUI,47c754f6c7c55b9e3e0b2295a73a345100fcfbd2
ID_VF0VA9MX9E,a8520ffb53f5684ada2089effa30c84981fddaf5
ID_O9CVQM3AV4,3c0f26c38b178aeb4f4f0ddb06554cef5dc836d5
ID_LCUFAZEJKV,c4eebc1c1dc8b10bbf14621c7d911ca677d82590
ID_NSO6LCV2XQ,477e233e06c55141814a722b1b307d81425405b3
ID_L6MQCMF7I2,277fb046e8257c15488b89980d4a041bd9851fab
ID_K72TMKUUOF,7e39f9307214d167161df4eb19c92b32160450ca
ID_UZFGVU12DJ,ebd9469ccd415c0396708a180246152aaa9d21a9
ID_JD3B2AO3QP,1740d3c2745fab864fc812638c94f5b35be10d57
ID_Q50K5MFEUI,d93afd766940efce1d985fe1d0cbbaeab051c33b
ID_J4O4UTVEKY,ae936a4152e48dc54151a69649e801d6d75d5d71
ID_PS9W9V2L2Y,64f5472e902ef40169e12c0c98076aeba7c963da
ID_UOGOV5QJ7C,5c76f688c30724a78f2e1ac4326006ad4e147f3a
