vid_id,session_id
ID_VY1W1KQYKP,def6d5b7411033072eff947c6e016bd843ea7d12
ID_20RXPQXZ3S,31ec120b4738332a393d98f3a4309ab1d3e06033
ID_0A8CHISPM9,9a3782037c04c0813f9ceb56cfdc95b4f78f9b51
ID_U54TLLXUFV,d380b01952151e24fbf5a005798de8a13f58f04a
ID_6DIFEMHML5,dc6b47045d4ad0b49f1b4ecc0a7b76ce36399819
ID_89JWGSSKSV,db6da2d0e3d76b6d78d9181f189b5afecccf1b25
ID_CE4RHJM0NE,ec91c7501194fa39ac3884c4bcff011131e02059
ID_R9SIORN0SH,1444bc5341280160b4fa29bd3e90adb41504382b
ID_H3ZXW3XLX8,a67f9e24d18e9c96b501b98cfbc287d9e1505875
ID_50DIUJXUPO,70adfbfd3e20d2ef4d6d29fa88167b29498595ab
ID_JJNSIDVSP4,7e57cd3010042ea6ebf6736dce6cdb06ee262951
ID_6BTM097TIL,c5c66b7311e7b06582a211f95346ef93c62999c1
ID_B5BMXI1DHA,dcad2cb0fb217bba4fc2a52ea5f05b9617b4c5f0
ID_VY1W1KQYKP,a335dcbab2d258e78f81e5ec3446150c441166ce
ID_C6F7OH472Q,0150edb5fe8253f276c3f798fd0584a8210a8216
ID_K1OCA3P7VK,2bd54d078eef969df6ef9c94ce46ec196c44b26e
ID_8049E7O9PH,57419e2103586558c9f1f56efffafb834adebf4d
ID_RDSPP9DF5H,eeed09215851b27359cb373a486cdb6a3dcfa3b9
ID_RDSPP9DF5H,6d30d8c16f5ebd92380d7c6186c715055327d4b7
ID_53VFW0O915,2accf9b5c027aafaae7f8937fa829383f895989a
ID_74E4AOQUNI,2accf9b5c027aafaae7f8937fa829383f895989a
ID_VY1W1KQYKP,1c2da517960733cac53f21c316c38ef6d7ef145f
ID_Z18FTO4O8E,17c7e4f8b3ca2825aac090d0b9654372d9a2dadb
ID_RA8ENXDGWI,5b9d3032c0740d41fe24469a73b8ce5aaa8f16a5
ID_DU3SJ5EQY7,d9dfdf2deb645d6b1e520b2d58fa29a29e0960ad
ID_L7LWT4URG4,eaec45d4ee395c3bd7296d6290693d8497b6397b
ID_TDEUWKC9LO,4cff66362a6b69ad98f048e198aa6847133e4fbe
ID_XJEUSARCXM,fa5b3030d2b98afde0ebca5942de567f05728615
ID_WFXOU87CR1,c8f8e326a4bb9b16814105a445cedd08e5939e72
ID_Z18FTO4O8E,8bd954f9ecd795ada5a5f3689f03a499d62f7915
ID_XJEUSARCXM,7bcc29994a49ba6ca703f1f991da6ef1385d8831
ID_50NRMIQY5L,b65f0802be60cc09538bc17a948ac5415dc2b4da
ID_9W3AG99PIQ,7add8838ed35cf9fc76563a9a53f286c9784291f
ID_OSCU528BX5,f49a8310a0b3d0e6e365683726cc71e0efc2d39c
ID_OYYY3KR7CC,7a9b5c89d4807b1ccde439eae73836bc064deb62
ID_L7LWT4URG4,670d492226cbc632d6b890f2115a271635bd8eea
ID_VY1W1KQYKP,1b8bbae490f77723b19c8c576c0d46d94e7b81de
ID_A1K4HOMFR6,efa0370c77b52d03fff3e19f6662c1f11b24be8e
ID_50NRMIQY5L,148e7e54621691d287af9b70f77cb1b6753431ce
ID_7WSB2VD9RX,f64442d7d617cbfeea56cd0d49ecafe8c61e4bcf
ID_WRKCOTFE36,3e07d7a73d1c521bb84545715dcf0018b4ad5bae
ID_BOTSK458FC,fe51180330a6ebefd689f00421e3a19818c66e08
ID_Z18FTO4O8E,96014196f86f134e32ceb3030152ded9f98aa511
ID_WFXOU87CR1,ed750cdfc24b78fc868651eadab87691bba50208
ID_DU3SJ5EQY7,34794443f5913c96970cfc48fa72c4c8e3cc34ca
ID_98NNPN0FG6,c12c8b2b3898e002ce2ae96e36f37553feae0e12
ID_4KLMEA8KEY,06b0ecd4b4844320e1a86297defb113f463bf1af
ID_R3XESD611K,1ed4fec9d731b901a7691b5203863654310d73d2
ID_53VFW0O915,27c62d770fc54e3bbb7c0f4d37c0c75794636bbd
ID_XJEUSARCXM,d5a1a0d0125f727751d5563f46b97485e13afad7
ID_YXN1P2S6FI,51354fe9d3061ddd9aefb93530ab2b8173ec147f
ID_TLX9KGZNL0,aa395965d7ece3b8cda5a7d64e5d28f139e73188
ID_MG863JB7TK,0e01ffec117ab70ea47617128b8baaf3628d5507
ID_PZP0SGB08U,02ceb2988110c3ec28c2056cea7607cdc5c55068
ID_A05DUP1CK8,e10f98603e00669adc70d78adc7772d6e1548942
ID_3SA91ONZW9,ff29b0f84b232d7b32078a1cce736a30de235bcd
ID_QE54SMD14Q,a10723d9fdb8a8f5147953cedbe5eb60d9a61db1
ID_PGTINZW11E,e2c94e46322de02192a3962547d8b009436ca30d
ID_V2YWSF3AQI,61f2e372116dd5006b6f29b90f9c52129ae11a31
ID_FPR90R7IFC,618b8ab143a45ab661eeec2ebe59c4e761f8d76c
ID_P5FM72JIWO,a44c7de8093c410e2882f4db7fdf745dd3e14e3a
ID_LMVVVG1TMY,b8751440a2aa7ee8fc2dbebf80b8151127a7b88a
ID_NQ467Y1P95,5c976aa4ecdcd7910a274358432400f5b5a395a0
ID_NLS0OYI99Z,d11bac9de5ed2bb81170c96e881367aa583a3e4f
ID_PTP9XQ98HZ,50f68fc6d5cf5f0a32016866f3b42f6f1e0e652a
ID_WTRK9P2FXH,4c863f3e2a81cc45683ac944981b757b9984f1db
ID_QE54SMD14Q,83a6a664791f8669c33fccaa1d8378cf1f751c12
ID_V2YWSF3AQI,a9153f5c53d20b1d86d9d6173fa3a4e108734a5b
ID_7QXFJLMYAP,424e85599bb71793991cd644fa5bd3830cdeebf5
ID_SJ3UEUK948,f691e49d7c95311f70e5083c7857aadf3a3934e2
ID_FPR90R7IFC,21fee4479a8f8e78479450c9c1bc538311f178d9
ID_4HQ9A8JBTE,649c7398d98249afbdf61919b2f2733bd38da9bd
ID_AT3VBJPBJK,36fad83ec2eecae31e697e309272f50bfd9376c7
ID_S4GA8JNUWK,8535d87e09078dfc2211787f98d6192f7d63df19
ID_4FA7Q5XGYX,f1fd89a67bf0d4d050184cd6c177c2f945b02f50
ID_O087WGNPGG,441c81230cd322217986e97034f08d86552d4e2e
ID_4WHMJCQQ7U,cfff4f00c5cad21e2792aba9f44080febcb741e4
ID_8SVA9I82MT,0e46e1480a1f074b944f39afed3ea5861379ef3c
ID_V63BN862OL,441bb770e54a353cd9d4a98d87a7707a7eed62a9
ID_E9CZNXVEY6,9776b449c9bc2bb23b6f27ad55551a2e7c1a42ee
ID_F5CDO1MF8R,70e58d876a9a1a849aad2164fc1ca0a8ea30c151
ID_MPKZPWC23B,55926065d54aa17ff4d461dd75839ac82ea5a3e4
ID_ECBDWPIP39,352b378c3996f5956fdc5b5149f550c965370792
ID_65F0FUUWUD,bd04f523f0f87959b0991280cd142b5b12deadee
ID_RZ6R8CQG3F,69bec01a2c27f078c88a05f3ba776bc61907446e
ID_FPR90R7IFC,1dcc335a595487b24357c99323b23f09dae58fb9
