vid_id,index,frame,vidTime,timelineRatio,session_duration,s_count,v_frac,vid_count,session_count,session_mean,vid_mean,count_ratio,vsi_max,duration_frac,max_vsi,v_vol,framediff,framestd,framestdmean
ID_00W17KW3SB,8500.0,16799.14,560.0,0.2698,225.66666666666666,2222.222222222222,0.9165,18000.0,2000.0,19675.926,19675.926,1.152,873.5,,0.0,16500.0,20.7,135.4,135.4
ID_017OO0Q1W4,23000.0,1783.2207,59.44,0.2927,50.0,2000.0,0.9546,11000.0,1909.090909090909,10545.454,10545.454,1.031,89.0,3.7324158039180593,0.18181818181818182,10500.0,1.994,15.67,15.67
ID_01VIRE6XSU,,,,,,,,,,,,,,,,,,,
ID_03KW1B84V6,,,,,,,,,,,,,,,,,,,
ID_046QP6U1AF,39500.0,10793.608,359.8,0.2206,224.45454545454547,2363.6363636363635,0.697,22000.0,1636.3636363636363,20246.213,20246.213,1.107,654.5,,0.22727272727272727,15333.333,16.23,122.4,122.4
ID_052H2LEQ1V,53500.0,18223.69,607.5,0.3494,121.83333333333333,2333.3333333333335,0.6113,6000.0,1333.3333333333333,8555.556,8555.556,1.145,953.5,13.905631014762509,0.16666666666666666,3666.6667,24.81,195.8,195.8
ID_099HIAUAG9,58500.0,1516.2097,50.53,0.1647,31.0,2000.0,1.0,4000.0,2000.0,4000.0,4000.0,1.0,72.0,1.744588280023548,0.25,4000.0,1.929,37.1,37.1
ID_0A90K3DZCF,65500.0,2454.0933,81.8,0.322,50.6,2800.0,1.0,10000.0,2800.0,10000.0,10000.0,1.0,114.1,3.653744633393763,0.1,10000.0,2.186,24.5,24.5
ID_0BRZ2GCONL,,,,,,,,,,,,,,,,,,,
ID_0C6Q7MGE5D,,,,,,,,,,,,,,,,,,,
ID_0CKRWAKBCV,74500.0,3639.4348,121.3,0.337,98.5,4000.0,0.75,8000.0,3000.0,7000.0,7000.0,1.021,168.2,2.0908967892913926,0.0,6000.0,2.42,22.53,22.53
ID_0D56E7Y0ZN,79500.0,11534.757,384.5,0.215,214.5,2000.0,1.0,2000.0,2000.0,2000.0,2000.0,1.0,554.0,3.0430524342494087,0.0,2000.0,9.58,44.2,44.2
ID_0DUE7CB6TY,91500.0,2690.063,89.7,0.2893,115.81818181818181,2909.090909090909,0.773,22000.0,2000.0,32000.0,32000.0,1.124,130.6,2.030545331867586,0.13636363636363635,17000.0,2.605,16.19,16.19
ID_0DZFR93LG1,103000.0,4143.3623,138.1,0.2656,218.0,2000.0,0.5,1000.0,1000.0,1000.0,1000.0,1.0,261.8,1.2006880733944953,0.0,500.0,7.863,21.75,21.75
ID_0EOQKBQA1C,112500.0,3080.0544,102.7,0.3376,119.22222222222223,2444.4444444444443,0.8887,18000.0,2000.0,17333.334,17333.334,1.017,151.9,3.3463357968703265,0.16666666666666666,16000.0,2.893,23.81,23.81
ID_0FAHRHVRX5,,,,,,,,,,,,,,,,,,,
ID_0FVBUF32FU,126500.0,15483.905,516.0,0.2485,181.3,2500.0,0.75,10000.0,2000.0,8700.0,8700.0,1.025,765.0,36.734081802458306,0.0,7500.0,19.72,155.4,155.4
