vid_id,index,frame,vidTime,timelineRatio,session_duration,s_count,v_frac,vid_count,session_count,session_mean,vid_mean,count_ratio,vsi_max,duration_frac,max_vsi,v_vol,framediff,framestd,framestdmean
ID_000FWIZDYH,1000.0,4079.2354,136.0,0.4788,114.66666666666667,1000.0,1.0,3000.0,1000.0,3000.0,3000.0,1.0,261.2,5.682540435639684,0.0,3000.0,7.842607,46.0,45.97
ID_00FMRXW972,4000.0,4138.6787,138.0,0.491,266.6666666666667,1000.0,1.0,3000.0,1000.0,3000.0,3000.0,1.0,278.2,1.0504969505308337,0.3333333333333333,3000.0,8.357066,3.508,3.508
ID_00JLJGB89W,9500.0,6699.4717,223.4,0.4329,465.625,1000.0,1.0,8000.0,1000.0,8000.0,8000.0,1.0,458.8,1.3600324011122624,0.125,8000.0,13.778508,36.8,36.8
ID_00UWLRIUIB,16000.0,23613.244,787.0,0.4277,27.8,1000.0,1.0,5000.0,1000.0,5000.0,5000.0,1.0,1135.0,46.69033371472158,0.2,5000.0,34.07788,479.2,479.2
ID_016DN30J91,20500.0,18583.648,619.5,0.3806,200.25,1000.0,1.0,4000.0,1000.0,4000.0,4000.0,1.0,1553.0,30.08654021307854,0.0,4000.0,42.128872,187.5,187.5
ID_01KWDQPYWT,26000.0,21711.2,723.5,0.4443,329.0,1000.0,1.0,7000.0,1000.0,7000.0,7000.0,1.0,1280.0,8.654701425877356,0.0,7000.0,37.406303,351.8,351.8
ID_01NUFAAK6N,32000.0,16358.76,545.5,0.31,171.8,1000.0,1.0,5000.0,1000.0,5000.0,5000.0,1.0,1181.0,31.998205176288902,0.0,5000.0,34.69625,307.0,307.0
ID_01NW7DI6JF,40500.0,23874.607,796.0,0.4734,189.16666666666666,1000.0,1.0,12000.0,1000.0,12000.0,12000.0,1.0,1274.0,21.015234482504475,0.16666666666666666,12000.0,37.329895,198.8,198.6
ID_01Z2OUXK0T,48000.0,6077.937,202.6,0.673,155.66666666666666,1000.0,1.0,3000.0,1000.0,3000.0,3000.0,1.0,301.0,3.301913457996808,0.0,3000.0,9.037856,53.16,53.16
ID_02F1SPBBML,51500.0,18413.773,614.0,0.3396,465.75,1000.0,1.0,4000.0,1000.0,4000.0,4000.0,1.0,1019.0,7.326687358144987,0.0,4000.0,30.602581,314.5,314.5
ID_02GB1SC8TB,56500.0,5284.2944,176.1,0.4504,371.6666666666667,1000.0,1.0,6000.0,1000.0,6000.0,6000.0,1.0,365.8,1.1634576597082786,0.0,6000.0,10.918256,17.45,17.45
ID_032HUR70DV,,,,,,,,,,,,,,,,,,,
ID_037FZNKIV2,61000.0,9405.423,313.5,0.1803,38.0,1000.0,1.0,3000.0,1000.0,3000.0,3000.0,1.0,699.0,23.314832510484685,0.0,3000.0,20.79028,89.94,89.94
ID_03909037D1,63000.0,4215.3354,140.5,0.5576,54.0,1000.0,1.0,1000.0,1000.0,1000.0,1000.0,1.0,253.0,4.685185185185185,0.0,1000.0,7.5975976,63.38,63.38
ID_039BF18IC7,64000.0,13600.835,453.2,0.5527,220.0,1000.0,1.0,1000.0,1000.0,1000.0,1000.0,1.0,761.0,3.459090909090909,0.0,1000.0,22.8469,170.9,170.9
ID_03DNLPT8WC,65000.0,5222.5205,174.1,0.4836,202.0,1000.0,1.0,1000.0,1000.0,1000.0,1000.0,1.0,340.0,1.683168316831683,0.0,1000.0,10.209067,25.5,25.5
ID_03EK7EKSOF,69000.0,2247.3416,74.94,0.4568,151.42857142857142,1000.0,1.0,7000.0,1000.0,7000.0,7000.0,1.0,159.5,1.1060544980654563,0.14285714285714285,7000.0,4.7908397,7.863,7.867
ID_03MQ41YPFE,75000.0,11931.445,397.8,0.3972,1658.0,1000.0,1.0,5000.0,1000.0,5000.0,5000.0,1.0,924.5,1.012445541455638,0.0,5000.0,27.671045,82.06,82.06
ID_03WO6S63F9,78000.0,840.0,28.0,0.1333,56.0,1000.0,1.0,1000.0,1000.0,1000.0,1000.0,1.0,56.0,1.0,1.0,1000.0,1.6816816,3.98e-05,3.98e-05
ID_03XRB0MGE5,80000.0,6872.82,229.1,0.1277,42.666666666666664,1000.0,1.0,3000.0,1000.0,3000.0,3000.0,1.0,650.5,17.49358974358974,0.3333333333333333,3000.0,19.537615,106.3,106.4
ID_045MP813IU,130500.0,18966.19,632.0,0.3242,283.8061224489796,1000.0,1.0,98000.0,1000.0,98000.0,98000.0,1.0,1196.0,,0.12244897959183673,98000.0,35.172165,257.8,257.5
ID_04A0YO7TIM,182000.0,1808.4066,60.28,0.03885,41.4,1000.0,1.0,5000.0,1000.0,5000.0,5000.0,1.0,128.8,5.6020806760204085,0.2,5000.0,3.8671403,43.88,43.88
ID_04C57FMBRZ,189000.0,729.75214,24.33,0.4424,72.11111111111111,1000.0,1.0,9000.0,1000.0,9000.0,9000.0,1.0,49.62,0.9113133578713289,0.4444444444444444,9000.0,1.4903158,2.535,2.535
ID_050IJE4LZR,196000.0,10955.311,365.2,0.1929,251.2,1000.0,1.0,5000.0,1000.0,5000.0,5000.0,1.0,1062.0,14.181547713156409,0.0,5000.0,30.582024,228.8,228.8
ID_066V3GI6V9,199500.0,10672.709,355.8,0.2003,485.5,1000.0,1.0,2000.0,1000.0,2000.0,2000.0,1.0,1110.0,2.188212927756654,0.5,2000.0,33.348347,144.1,144.1
ID_069BEYE7JH,,,,,,,,,,,,,,,,,,,
ID_06SDU2U0CW,203000.0,20123.049,671.0,0.3655,513.0,1000.0,1.0,5000.0,1000.0,5000.0,5000.0,1.0,1280.0,10.011135230869154,0.2,5000.0,38.339966,127.44,127.44
ID_06ZPWT91HA,206000.0,3315.0,110.5,0.5024,221.0,1000.0,1.0,1000.0,1000.0,1000.0,1000.0,1.0,221.0,1.0,1.0,1000.0,6.6366367,0.000132,0.000132
