vid_id,index,frame,vidTime,timelineRatio,session_duration,s_count,v_frac,vid_count,session_count,session_mean,vid_mean,count_ratio,vsi_max,duration_frac,max_vsi,v_vol,framediff,framestd,framestdmean
ID_00C9KJGOK1,2000.0,20117.691,670.5,0.4446,191.6,1000.0,1.0,5000.0,1000.0,5000.0,5000.0,1.0,1009.0,8.934361576934391,0.0,5000.0,30.111738,181.8,181.8
ID_018T3EWMHA,15500.0,4066.208,135.5,0.4858,339.59090909090907,1000.0,1.0,22000.0,1000.0,22000.0,22000.0,1.0,254.8,0.9979758632887735,0.045454545454545456,22000.0,7.6476502,19.84,19.84
ID_01DQALV0ZG,29500.0,13393.408,446.5,0.2883,161.83333333333334,1000.0,1.0,6000.0,1000.0,6000.0,6000.0,1.0,721.0,19.195675949236094,0.0,6000.0,21.65052,140.6,140.5
ID_01U6EDCUOM,35000.0,20733.133,691.0,0.3767,139.8,1000.0,1.0,5000.0,1000.0,5000.0,5000.0,1.0,1408.0,9.790440118422756,0.2,5000.0,42.28093,244.8,244.8
ID_02353NEYPV,38000.0,869.8198,29.0,0.1428,10.0,1000.0,1.0,1000.0,1000.0,1000.0,1000.0,1.0,46.0,4.6,0.0,1000.0,1.3812611,22.78,22.78
ID_026WBV4LN9,,,,,,,,,,,,,,,,,,,
ID_027F9YN12D,42000.0,20899.543,696.5,0.3381,220.42857142857142,1000.0,1.0,7000.0,1000.0,7000.0,7000.0,1.0,1343.0,12.322311280053922,0.0,7000.0,40.04093,278.8,278.8
ID_0292AG4ITC,46000.0,27602.941,920.0,0.576,77.0,1000.0,1.0,1000.0,1000.0,1000.0,1000.0,1.0,1436.0,18.649350649350648,0.0,1000.0,43.123123,439.8,439.8
ID_02FJED50ZB,48000.0,4507.726,150.2,0.4993,310.0,1000.0,1.0,3000.0,1000.0,3000.0,3000.0,1.0,301.0,0.971423467874572,0.3333333333333333,3000.0,9.039039,0.6665,0.6665
ID_02Q7F5T7TM,50000.0,2355.0,78.5,0.4336,157.0,1000.0,1.0,1000.0,1000.0,1000.0,1000.0,1.0,157.0,1.0,1.0,1000.0,4.7147145,0.00011265,0.00011265
ID_02RBSW5N8G,58500.0,18490.596,616.5,0.3452,312.5625,1000.0,1.0,16000.0,1000.0,16000.0,16000.0,1.0,970.0,12.80562770497284,0.0625,16000.0,27.127493,221.4,221.4
ID_02VPY5HSR3,75000.0,16098.363,536.5,0.2856,201.76470588235293,1000.0,1.0,17000.0,1000.0,17000.0,17000.0,1.0,1064.0,24.441706413955252,0.0,17000.0,31.396101,289.0,289.0
