vid_id,index,frame,vidTime,timelineRatio,session_duration,s_count,v_frac,vid_count,session_count,session_mean,vid_mean,count_ratio,vsi_max,duration_frac,max_vsi,v_vol,framediff,framestd,framestdmean
ID_002VVGIJMP,43500.0,19381.246,646.0,0.3533,518.9090909090909,1000.0,1.0,88000.0,1000.0,88000.0,88000.0,1.0,1227.0,11.860181782785833,0.07954545454545454,88000.0,34.63903,234.1,234.1
ID_0107OKEJ8X,96000.0,22217.162,740.5,0.3853,162.11764705882354,1000.0,1.0,17000.0,1000.0,17000.0,17000.0,1.0,1094.0,15.920048906519618,0.29411764705882354,17000.0,32.695152,240.4,240.2
ID_013F0X2Z2N,109500.0,15957.945,532.0,0.3306,116.5,1000.0,1.0,10000.0,1000.0,10000.0,10000.0,1.0,898.0,10.7392324585773,0.2,10000.0,26.668648,332.0,332.0
ID_019MKMCDJR,115000.0,3953.1648,131.8,0.488,14.0,1000.0,1.0,1000.0,1000.0,1000.0,1000.0,1.0,233.0,16.642857142857142,0.0,1000.0,6.996666,101.56,101.56
ID_01S8FOBJWF,119000.0,22146.455,738.0,0.3604,58.57142857142857,1000.0,1.0,7000.0,1000.0,7000.0,7000.0,1.0,1130.0,59.604282960155885,0.0,7000.0,33.93269,477.8,477.8
ID_02RBZ184M5,,,,,,,,,,,,,,,,,,,
ID_02UUZWCLTP,123500.0,34285.44,1143.0,0.6406,277.5,1000.0,1.0,2000.0,1000.0,2000.0,2000.0,1.0,1704.0,6.169345572297809,0.0,2000.0,51.155464,343.0,342.8
ID_03JM58MVJB,125000.0,6785.978,226.2,0.6284,154.0,1000.0,1.0,1000.0,1000.0,1000.0,1000.0,1.0,335.0,2.175324675324675,0.0,1000.0,10.056393,37.72,37.72
ID_03KK33610D,128000.0,3268.3718,108.94,0.4521,196.8,1000.0,1.0,5000.0,1000.0,5000.0,5000.0,1.0,216.4,1.303996115988751,0.4,5000.0,6.4984984,8.76,8.76
ID_03PLMBNXGK,132500.0,15839.044,528.0,0.3105,189.25,1000.0,1.0,4000.0,1000.0,4000.0,4000.0,1.0,1019.0,20.255002179598954,0.25,4000.0,28.397226,360.8,360.8
ID_03TPPRXHIM,135500.0,2414.7869,80.5,0.2864,163.0,1000.0,1.0,2000.0,1000.0,2000.0,2000.0,1.0,157.0,0.9794520547945206,0.5,2000.0,4.7130914,0.694,0.694
ID_03XW3Q9RII,138000.0,20642.5,688.0,0.4062,513.3333333333334,1000.0,1.0,3000.0,1000.0,3000.0,3000.0,1.0,1189.0,7.262197367381971,0.0,3000.0,35.69446,91.75,91.75
ID_049WLYG0FI,146000.0,6600.4995,220.0,0.4583,322.15384615384613,1000.0,1.0,13000.0,1000.0,13000.0,13000.0,1.0,450.8,1.6225533352209904,0.0,13000.0,13.534832,40.44,40.44
ID_04JG0JWFR5,153000.0,3290.863,109.7,0.4749,58.0,1000.0,1.0,1000.0,1000.0,1000.0,1000.0,1.0,232.0,4.0,0.0,1000.0,6.9651933,52.3,52.3
ID_04MSB06NBN,157000.0,13838.889,461.2,0.458,677.7142857142857,1000.0,1.0,7000.0,1000.0,7000.0,7000.0,1.0,897.5,1.428629791917815,0.14285714285714285,7000.0,26.248625,53.8,53.8
